GeneId,Prediction
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,1
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,0
